"","topic","country","ngo","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","videoId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt","error","moderationStatus"
"32","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","Lechita Pomorski","https://yt3.ggpht.com/-TnJHafENQrc/AAAAAAAAAAI/AAAAAAAAAAA/Ou5uU0cj0mM/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCZ2o1sngtav6HMDw9kRkN9Q","UCZ2o1sngtav6HMDw9kRkN9Q","NLi6Eb6N4lc","Idą faszyści z onr podający się  za Patriotów a Warszawskie słoiki im wtórują","Idą faszyści z onr podający się  za Patriotów a Warszawskie słoiki im wtórują","TRUE","none","0",2018-01-26 06:07:57,2018-01-26 06:07:57,NA,NA
"33","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","Marek Cz.","https://yt3.ggpht.com/-uNT5592X3ak/AAAAAAAAAAI/AAAAAAAAAAA/ILIU9J-jZsQ/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCsBS4VQ9FpNYNyhfIlkDmpA","UCsBS4VQ9FpNYNyhfIlkDmpA","NLi6Eb6N4lc","Jak kurwa pierdolony faszysta może być Patriotą chyba partyjnym idiotom","Jak kurwa pierdolony faszysta może być Patriotą chyba partyjnym idiotom","TRUE","none","0",2018-01-25 16:33:58,2018-01-25 16:33:58,NA,NA
"34","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","Szefuniu XD","https://yt3.ggpht.com/-xmZZErsW0ec/AAAAAAAAAAI/AAAAAAAAAAA/aZSAKevK7X0/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCqU3u-WRwn4IxXS_GhPl0iQ","UCqU3u-WRwn4IxXS_GhPl0iQ","NLi6Eb6N4lc","aż sie łzy ciskaja : ( piękne","aż sie łzy ciskaja : ( piękne","TRUE","none","2",2018-01-23 16:51:10,2018-01-23 16:51:10,NA,NA
"35","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","Vladimir UsRu","https://yt3.ggpht.com/-OSKqhDvH2ww/AAAAAAAAAAI/AAAAAAAAAAA/jmIXgNZ6msY/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UC7lr2wbq0Q0x1BqftY-eUIg","UC7lr2wbq0Q0x1BqftY-eUIg","NLi6Eb6N4lc","Pielęgnuj te piękne kobiety które posiadasz i wyprodukować 5 dzieci na parę.<br /><br />Uważaj, aby nie stać się ofiarami krzyżowanie ras, tak jak dzieje się to w Brazylii.<br /><br />Los narodu polskiego ma być jednym z kluczowych narodów dla zachowania białej rasy.","Pielęgnuj te piękne kobiety które posiadasz i wyprodukować 5 dzieci na parę.

Uważaj, aby nie stać się ofiarami krzyżowanie ras, tak jak dzieje się to w Brazylii.

Los narodu polskiego ma być jednym z kluczowych narodów dla zachowania białej rasy.","TRUE","none","0",2018-01-19 00:27:28,2018-01-19 00:27:28,NA,NA
"36","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","wiesława Pwaliczuk","https://yt3.ggpht.com/-dzbYS6OrX0I/AAAAAAAAAAI/AAAAAAAAAAA/gUG0OHRdWt8/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UC5n1w2P2k6lFfiyyD92d3Tw","UC5n1w2P2k6lFfiyyD92d3Tw","NLi6Eb6N4lc","Cudownie i bardzo wzruszające, jestem pod wrażeniem, łzy same płyną. Brawo","Cudownie i bardzo wzruszające, jestem pod wrażeniem, łzy same płyną. Brawo","TRUE","none","2",2018-01-18 15:03:25,2018-01-18 15:03:25,NA,NA
"37","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","Marcin Maler","https://yt3.ggpht.com/-2PIG7B7O6Vk/AAAAAAAAAAI/AAAAAAAAAAA/Ld8sBbcPpr4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCOkXt8Xsc8b4IS82yqJ0fng","UCOkXt8Xsc8b4IS82yqJ0fng","NLi6Eb6N4lc","Lza sie kreci w oku razem jestesmy sila trzeba trzymac sie razem","Lza sie kreci w oku razem jestesmy sila trzeba trzymac sie razem","TRUE","none","2",2018-01-16 19:57:24,2018-01-16 19:57:24,NA,NA
"38","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","DRUGI SORT","https://yt3.ggpht.com/-doMzM0p4YZs/AAAAAAAAAAI/AAAAAAAAAAA/OSPqAzKWsCA/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCVo6Zxv72vVYpBqw5Yo0wPw","UCVo6Zxv72vVYpBqw5Yo0wPw","NLi6Eb6N4lc","Sami rasisci","Sami rasisci","TRUE","none","0",2018-01-09 12:05:15,2018-01-09 12:05:15,NA,NA
"39","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","scyzoryk","https://yt3.ggpht.com/-4LTXvi9ziVw/AAAAAAAAAAI/AAAAAAAAAAA/VyM1wFLuRas/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UC40DBd0WO2JnAU2jmmNuauw","UC40DBd0WO2JnAU2jmmNuauw","NLi6Eb6N4lc","w tym roku muszę pojechać na Marszu Niepodległości","w tym roku muszę pojechać na Marszu Niepodległości","TRUE","none","1",2018-01-08 17:57:38,2018-01-08 17:57:38,NA,NA
"40","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","Piotr Doreński","https://yt3.ggpht.com/-VFQyF219GkQ/AAAAAAAAAAI/AAAAAAAAAAA/4wvemF_dW5A/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCWczgsheXV-RTs4jFYmJCnA","UCWczgsheXV-RTs4jFYmJCnA","NLi6Eb6N4lc","Nie jestem chrześcijaninem ale kurwa szacunek,chylę głowę!!!","Nie jestem chrześcijaninem ale kurwa szacunek,chylę głowę!!!","TRUE","none","1",2018-01-07 21:48:00,2018-01-07 21:48:00,NA,NA
"41","migration","pl","UC_ntaIWaLOutp-eUhcDrp8A","MtS BrD siła,las,patriotyzm.","https://yt3.ggpht.com/-lD0GLnT3w8Q/AAAAAAAAAAI/AAAAAAAAAAA/rjPcObE5QuY/s28-c-k-no-mo-rj-c0xffffff/photo.jpg","http://www.youtube.com/channel/UCnkTank8q9yPX6Nl3YPOqYg","UCnkTank8q9yPX6Nl3YPOqYg","NLi6Eb6N4lc","Duma mnie rozrywa!","Duma mnie rozrywa!","TRUE","none","1",2018-01-05 19:18:52,2018-01-05 19:18:52,NA,NA
